"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2025","2,672.70","2,697.50","2,697.70","2,668.20","","-0.88%"
"09/18/2025","2,696.50","2,672.65","2,697.15","2,669.15","","0.46%"
"09/17/2025","2,684.05","2,711.20","2,713.60","2,679.70","","-1.12%"
"09/16/2025","2,714.55","2,695.50","2,720.05","2,695.00","","0.40%"
"09/15/2025","2,703.70","2,690.05","2,704.55","2,680.60","","0.14%"
"09/12/2025","2,699.90","2,687.60","2,701.05","2,682.55","","0.79%"
"09/11/2025","2,678.85","2,630.50","2,678.85","2,630.50","","1.93%"
"09/10/2025","2,628.20","2,631.65","2,632.10","2,618.90","","-0.05%"
"09/09/2025","2,629.45","2,617.55","2,630.05","2,613.60","","0.58%"
"09/08/2025","2,614.40","2,611.75","2,625.60","2,606.75","","0.32%"
"09/05/2025","2,606.15","2,601.75","2,625.50","2,598.85","","0.56%"
"09/04/2025","2,591.75","2,597.05","2,611.55","2,588.80","","-0.98%"
"09/03/2025","2,617.30","2,608.30","2,622.75","2,607.45","","-0.15%"
"09/02/2025","2,621.25","2,618.70","2,625.50","2,601.55","","0.15%"
"09/01/2025","2,617.40","2,610.80","2,618.50","2,606.30","","-0.10%"
"08/29/2025","2,620.15","2,612.40","2,623.10","2,609.75","","0.41%"
"08/28/2025","2,609.55","2,615.50","2,623.95","2,604.85","","0.16%"
"08/27/2025","2,605.40","2,637.70","2,638.80","2,597.75","","-1.24%"
"08/26/2025","2,638.20","2,617.55","2,640.85","2,602.60","","0.60%"
"08/22/2025","2,622.55","2,585.45","2,627.75","2,582.55","","1.15%"
"08/21/2025","2,592.85","2,581.55","2,592.85","2,570.00","","0.40%"
"08/20/2025","2,582.60","2,566.80","2,584.50","2,563.70","","0.68%"
"08/19/2025","2,565.10","2,576.00","2,582.55","2,561.35","","-0.80%"